127.0.0.1 - - [13/Jun/2022:11:25:36 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:25:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:25:54 +0900] "GET /images/loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:25:54 +0900] "GET /images/%EB%A9%8D%EB%A9%8D1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:25:54 +0900] "GET /images/%EB%A9%8D%EB%A9%8D3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:25:54 +0900] "GET /images/%EC%95%BC%EC%98%B92.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:25:54 +0900] "GET /fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:26:01 +0900] "GET /login.jsp HTTP/1.1" 200 6453
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:26:08 +0900] "GET /signup.jsp HTTP/1.1" 200 11122
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:26:08 +0900] "GET /css/signup_mypage.css HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:26:37 +0900] "POST /signupDone.jsp HTTP/1.1" 200 6096
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:26:37 +0900] "GET /fonts/icomoon/icomoon.ttf?srf3rx HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:26:41 +0900] "GET /login.jsp HTTP/1.1" 200 6453
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:26:48 +0900] "POST /login.me HTTP/1.1" 500 3600
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:26:57 +0900] "GET /supportREGRequest.jsp HTTP/1.1" 200 7458
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:26:57 +0900] "GET /css/supportRequest.css HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:27:02 +0900] "POST /supportDone.jsp HTTP/1.1" 200 6337
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:34:35 +0900] "GET /supportREGRequest.jsp HTTP/1.1" 200 7458
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:34:36 +0900] "GET /images/bom123icon.ico HTTP/1.1" 200 45517
0:0:0:0:0:0:0:1 - - [13/Jun/2022:11:34:38 +0900] "POST /supportDone.jsp HTTP/1.1" 200 6337
0:0:0:0:0:0:0:1 - - [13/Jun/2022:12:34:55 +0900] "GET /animalsList.jsp HTTP/1.1" 200 18399
0:0:0:0:0:0:0:1 - - [13/Jun/2022:12:34:55 +0900] "GET /css/animalsList.css HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [13/Jun/2022:12:34:55 +0900] "GET /images_sample/%EA%B0%95%EB%A1%9D.png HTTP/1.1" 200 803679
0:0:0:0:0:0:0:1 - - [13/Jun/2022:12:34:55 +0900] "GET /images_sample/%EB%82%A8%ED%9D%AC.png HTTP/1.1" 200 652772
0:0:0:0:0:0:0:1 - - [13/Jun/2022:12:34:55 +0900] "GET /images_sample/%EC%BF%A0%EB%A1%9C.png HTTP/1.1" 200 699601
0:0:0:0:0:0:0:1 - - [13/Jun/2022:12:34:55 +0900] "GET /images_sample/%EB%A3%A8%EC%8B%9C.png HTTP/1.1" 200 711731
0:0:0:0:0:0:0:1 - - [13/Jun/2022:12:34:55 +0900] "GET /images_sample/%EB%A7%88%EB%A6%AC.png HTTP/1.1" 200 855791
0:0:0:0:0:0:0:1 - - [13/Jun/2022:12:34:55 +0900] "GET /images_sample/%EB%A0%88%EC%8A%AC%EB%A6%AC.png HTTP/1.1" 200 777523
0:0:0:0:0:0:0:1 - - [13/Jun/2022:12:34:55 +0900] "GET /images_sample/%ED%99%80%EB%A6%AC.png HTTP/1.1" 200 727197
0:0:0:0:0:0:0:1 - - [13/Jun/2022:12:34:55 +0900] "GET /images_sample/%EB%B3%B4%EC%84%9D.jpg HTTP/1.1" 200 145776
